0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,7
10,16
11,29
12,43
13,58
14,74
15,89
16,105
17,120
18,135
19,151
20,167
21,183
22,198
23,214
24,229
25,245
26,260
27,276
28,292
29,307
30,323
31,339
32,354
33,370
34,385
35,400
36,416
37,432
38,448
39,464
40,479
41,495
42,511
43,526
44,542
45,557
46,573
47,590
48,605
49,621
50,637
51,653
52,668
53,683
54,699
55,715
56,731
57,747
58,762
59,778
60,793
61,808
62,824
63,840
64,857
65,873
66,889
67,905
68,920
69,936
70,952
71,968
72,984
73,1001
74,1016
75,1032
76,1048
77,1064
78,1081
79,1096
80,1111
81,1127
82,1144
83,1160
84,1176
85,1192
86,1208
87,1223
88,1239
89,1255
90,1271
91,1287
92,1303
93,1319
94,1335
95,1351
96,1365
97,1382
98,1398
99,1415
100,1431
101,1446
102,1462
103,1478
104,1494
105,1509
106,1525
107,1540
108,1558
109,1573
110,1589
111,1605
112,1621
113,1637
114,1651
115,1667
116,1683
117,1700
118,1716
119,1732
120,1748
121,1763
122,1778
123,1794
124,1810
125,1827
126,1843
127,1859
128,1874
129,1890
130,1906
131,1921
132,1936
133,1952
134,1969
135,1984
136,2000
137,2017
138,2032
139,2048
140,2062
141,2079
142,2094
143,2110
144,2127
145,2142
146,2158
147,2174
148,2189
149,2203
150,2219
151,2235
152,2251
153,2268
154,2283
155,2299
156,2314
157,2328
158,2343
159,2358
160,2376
161,2392
162,2408
163,2424
164,2439
165,2456
166,2470
167,2486
168,2500
169,2518
170,2534
171,2549
172,2565
173,2582
174,2598
175,2612
176,2628
177,2644
178,2661
179,2677
180,2693
181,2711
182,2727
183,2742
184,2757
185,2774
186,2791
187,2809
188,2825
189,2841
190,2858
191,2875
192,2890
193,2906
194,2923
195,2941
196,2961
197,2977
198,2995
199,3012
200,3030
201,3047
202,3064
203,3082
204,3102
205,3122
206,3141
207,3160
208,3178
209,3197
210,3216
211,3235
212,3255
213,3279
214,3299
215,3319
216,3340
217,3362
218,3384
219,3404
220,3426
221,3449
222,3475
223,3499
224,3523
225,3548
226,3573
227,3597
228,3621
229,3646
230,3673
231,3701
232,3728
233,3755
234,3783
235,3810
236,3836
237,3863
238,3891
239,3923
240,3952
241,3982
242,4009
243,4036
244,4058
245,4074
246,4086
247,4092
248,4094
249,4094
250,4094
251,4094
252,4094
253,4094
254,4095

